iso3,country,year,phase_type,ipc_phase,population_total,gdp_current_usd,poverty_rate,brd_deaths,one_sided_deaths,Climate: Standard Deviation,Climate: Temperature change,Crop: Maize (corn) - Production,Crop: Maize (corn) - Yield,Crop: Millet - Production,Crop: Millet - Yield,Crop: Rice - Production,Crop: Rice - Yield,Crop: Sorghum - Production,Crop: Sorghum - Yield,Crop: Wheat - Production,Crop: Wheat - Yield
SSD,South Sudan,2022,current,3,11021177,,,,,0.510941176,0.774176471,219300,996.8,48015,850.5,36515,1188.7,759469,1084.9,,
SSD,South Sudan,2022,proj1,3,11021177,,,,,0.510941176,0.774176471,219300,996.8,48015,850.5,36515,1188.7,759469,1084.9,,
SSD,South Sudan,2022,proj2,1,11021177,,,,,0.510941176,0.774176471,219300,996.8,48015,850.5,36515,1188.7,759469,1084.9,,
SSD,South Sudan,2023,current,3,11483374,,,,38,0.510941176,1.469882353,141000,999.6,45000,900,33000,1090.2,867000,982.1,,
SSD,South Sudan,2023,proj1,2,11483374,,,,38,0.510941176,1.469882353,141000,999.6,45000,900,33000,1090.2,867000,982.1,,
SSD,South Sudan,2023,proj2,3,11483374,,,,38,0.510941176,1.469882353,141000,999.6,45000,900,33000,1090.2,867000,982.1,,
SSD,South Sudan,2024,current,3,11943408,,,,39,0.510941176,1.806294118,,,,,,,,,,
SSD,South Sudan,2024,proj1,2,11943408,,,,39,0.510941176,1.806294118,,,,,,,,,,
SSD,South Sudan,2024,proj2,3,11943408,,,,39,0.510941176,1.806294118,,,,,,,,,,
SSD,South Sudan,2025,current,1,,,,,,,,,,,,,,,,,
SSD,South Sudan,2025,proj1,1,,,,,,,,,,,,,,,,,
SSD,South Sudan,2025,proj2,3,,,,,,,,,,,,,,,,,
SWZ,Eswatini,2017,current,1,1158195,4463673661,,,,0.674588235,0.840764706,84000,1238.7,,,943.5,3094,1000,738.8,689.52,1855
SWZ,Eswatini,2017,proj1,1,1158195,4463673661,,,,0.674588235,0.840764706,84000,1238.7,,,943.5,3094,1000,738.8,689.52,1855
SWZ,Eswatini,2017,proj2,1,1158195,4463673661,,,,0.674588235,0.840764706,84000,1238.7,,,943.5,3094,1000,738.8,689.52,1855
SWZ,Eswatini,2018,current,1,1168929,4644696656,,,,0.674588235,1.421,113000,1268.9,,,1000,3054.2,1000,826,701.5,1858.7
SWZ,Eswatini,2018,proj1,1,1168929,4644696656,,,,0.674588235,1.421,113000,1268.9,,,1000,3054.2,1000,826,701.5,1858.7
SWZ,Eswatini,2018,proj2,1,1168929,4644696656,,,,0.674588235,1.421,113000,1268.9,,,1000,3054.2,1000,826,701.5,1858.7
SWZ,Eswatini,2019,current,2,1179874,4616996145,,,,0.674588235,1.577470588,95000,1276.4,,,1000,3039.6,1000,842.7,714.65,1869.8
SWZ,Eswatini,2019,proj1,2,1179874,4616996145,,,,0.674588235,1.577470588,95000,1276.4,,,1000,3039.6,1000,842.7,714.65,1869.8
SWZ,Eswatini,2019,proj2,1,1179874,4616996145,,,,0.674588235,1.577470588,95000,1276.4,,,1000,3039.6,1000,842.7,714.65,1869.8
SWZ,Eswatini,2020,current,2,1192729,4120621325,,,,0.674588235,0.727176471,87000,1279.4,,,1000,3111.1,1000,1000,701.89,1861.2
